날짜,캠페인명,광고그룹,소재명,노출수,클릭수,광고비,전환수
2025-03-01,봄맞이_신작영화,20대_타겟,배너_A,152000,3800,1900000,45
2025-03-01,봄맞이_신작영화,30대_타겟,배너_B,98000,2450,1225000,32
2025-03-01,드라마_프로모션,전체_타겟,동영상_A,245000,7350,3675000,88
2025-03-02,봄맞이_신작영화,20대_타겟,배너_A,148000,3552,1776000,42
2025-03-02,봄맞이_신작영화,30대_타겟,배너_B,102000,2550,1275000,35
2025-03-02,드라마_프로모션,전체_타겟,동영상_A,238000,7140,3570000,82
2025-03-03,봄맞이_신작영화,20대_타겟,배너_A,155000,4030,2015000,48
2025-03-03,봄맞이_신작영화,30대_타겟,배너_B,95000,2375,1187500,30
2025-03-03,드라마_프로모션,전체_타겟,동영상_A,252000,7560,3780000,91
2025-03-03,예능_리얼리티,20대_타겟,배너_C,180000,5400,2700000,65
2025-03-04,봄맞이_신작영화,20대_타겟,배너_A,160000,4160,2080000,50
2025-03-04,봄맞이_신작영화,30대_타겟,배너_B,99000,2475,1237500,33
2025-03-04,드라마_프로모션,전체_타겟,동영상_A,260000,7800,3900000,95
2025-03-04,예능_리얼리티,20대_타겟,배너_C,175000,5250,2625000,62
2025-03-05,봄맞이_신작영화,20대_타겟,배너_A,163000,4238,2119000,52
2025-03-05,봄맞이_신작영화,30대_타겟,배너_B,101000,2525,1262500,34
2025-03-05,드라마_프로모션,전체_타겟,동영상_A,255000,7650,3825000,93
2025-03-05,예능_리얼리티,20대_타겟,배너_C,185000,5550,2775000,68
2025-03-05,예능_리얼리티,30대_타겟,동영상_B,120000,3600,1800000,40
2025-03-06,봄맞이_신작영화,20대_타겟,배너_A,158000,4108,2054000,49
2025-03-06,봄맞이_신작영화,30대_타겟,배너_B,97000,2425,1212500,31
2025-03-06,드라마_프로모션,전체_타겟,동영상_A,248000,7440,3720000,89
2025-03-06,예능_리얼리티,20대_타겟,배너_C,178000,5340,2670000,64
2025-03-06,예능_리얼리티,30대_타겟,동영상_B,125000,3750,1875000,42
2025-03-07,봄맞이_신작영화,20대_타겟,배너_A,170000,4420,2210000,55
2025-03-07,봄맞이_신작영화,30대_타겟,배너_B,105000,2625,1312500,36
2025-03-07,드라마_프로모션,전체_타겟,동영상_A,268000,8040,4020000,98
2025-03-07,예능_리얼리티,20대_타겟,배너_C,190000,5700,2850000,70
2025-03-07,예능_리얼리티,30대_타겟,동영상_B,130000,3900,1950000,44
